Time/Date	degC	psi
38116.746528	5.45	102.84
38116.767361	5.45	102.84
38116.788194	5.45	102.84
38116.809028	5.45	102.84
38116.829861	5.45	94.93
38116.850694	5.45	85.45
38116.871528	5.65	77.03
38116.892361	5.65	83.88
38116.913194	5.45	93.35
38116.934028	5.65	73.87
38116.954861	5.65	75.97
38116.975694	5.65	80.19
38116.996528	5.65	79.66
38117.017361	5.65	80.72
38117.038194	5.65	88.1
38117.059028	5.65	100.74
38117.079861	5.65	89.15
38117.100694	5.65	87.57
38117.121528	5.65	88.1
38117.142361	5.65	88.1
38117.163194	5.84	86
38117.184028	5.84	92.32
38117.204861	5.84	100.23
38117.225694	5.84	98.65
38117.246528	5.84	101.29
38117.267361	5.84	103.92
38117.288194	5.84	102.34
38117.309028	5.84	102.87
38117.329861	5.65	102.33
38117.350694	5.65	102.85
38117.371528	5.65	102.85
38117.392361	5.65	102.85
38117.413194	5.65	102.85
38117.434028	5.65	103.38
38117.454861	5.65	103.38
38117.475694	5.65	103.38
38117.496528	5.65	103.38
38117.517361	5.65	103.38
38117.538194	5.45	102.84
38117.559028	5.45	103.36
38117.579861	5.45	102.84
38117.600694	5.45	103.36
38117.621528	5.45	102.84
38117.642361	5.45	103.36
38117.663194	5.45	102.84
38117.684028	5.45	102.84
38117.704861	5.45	102.84
38117.725694	5.45	102.84
38117.746528	5.45	102.84
38117.767361	5.45	102.31
38117.788194	5.45	102.31
38117.809028	5.45	103.36
38117.829861	5.45	103.89
38117.850694	5.65	88.62
38117.871528	5.65	74.92
38117.892361	5.65	89.15
38117.913194	5.65	92.31
38117.934028	5.65	82.3
38117.954861	5.65	74.39
38117.975694	5.65	80.19
38117.996528	5.65	74.92
38118.017361	5.65	52.26
38118.038194	5.65	64.91
38118.059028	5.65	53.84
38118.079861	5.65	69.12
38118.100694	5.65	80.19
38118.121528	5.65	72.29
38118.142361	5.65	83.88
38118.163194	5.65	69.65
38118.184028	5.65	82.83
38118.204861	5.65	85.99
38118.225694	5.65	85.99
38118.246528	5.65	85.46
38118.267361	5.84	85.47
38118.288194	5.84	85.47
38118.309028	5.84	85.47
38118.329861	5.84	85.47
38118.350694	5.84	85.47
38118.371528	5.84	85.47
38118.392361	5.84	85.47
38118.413194	5.84	86
38118.434028	5.84	86
